Book Title,Author / Translator,Abstract about Book,Category,Keywords,pISBN,eISBN,
Qatar and The Gulf Crisis,Kristian Coates Ulrichsen,"In 2017, Saudi Arabia, Bahrain, the UAE and Egypt severed diplomatic ties with Qatar, launching an economic blockade by land, air and sea. The self-proclaimed ‹Anti-Terror Quartet› offered maximalist demands: thirteen ‹conditions› recalling Austria-Hungary›s 1914 ultimatum to Serbia. They may even have intended military action. Well into its third year, the standoff in the Gulf has no realistic end in sight. With the Bahraini and Emirati criminalisation of expressing support for Qatar, and the Saudi labelling of detainees as ‹traitors› for their alleged Qatari links, bitterness has been stoked between deeply interconnected peoples. The adviser to the Saudi crown prince advocating a moat to physically separate Qatar from the Arabian Peninsula illustrates the ongoing intensity?and irrationality?of the crisis. Most reporting and analysis of these developments has focused on questions of regional geopolitics, and framed the standoff in terms of its impact on (largely) Western interests. Lost in this thicket of commentary is consideration of how the Qatari leadership and population have responded to the blockade. As the 2022 FIFA World Cup draws closer, the ongoing gulf crisis becomes increasingly important to understand. Ulrichsen offers an authoritative study of this international standoff, from both sides.", Politics ,,978-9927-107-740,978-9927-107-757,
"Sports Law: General Theory and Interpretation of Sport Legislation in the
State of Qatar",Abdelnaser Zeyad Hayajneh,"The book “Sport Law” comes to keep pace with the unrivaled interest that the State of Qatar attaches to sports, especially as it prepares to host the 2022 World Cup. It also remarkably fills a gap in the Arab legal library by presenting an academic study for sports legislation at the national and international levels. In this book, the author presents a theoretical framework for sports law covering its definition, origin, development, characteristics, principles, and sources of its rules along with its connections with the rest of the branches of law. It provides a brief study of sports legislation in Qatar, and a study of the institutions and bodies in charge of managing sports and settling sports disputes. The book was also supplemented with some legislative texts and sports regulations crucial for both readers and scholars.", Law ,,978-9927-107-76-4,978-9927-107-77-1,
The Role Of Water and Landscape in the Occupation of Qatar,Phillip G. Macumber,"The book represents a unique study that focuses on landscape and water resources to provide a temporal and physical framework for understanding the presence and distribution of people in Qatar over time. It traces the start and development of human presence in Qatar since the very early prehistoric times, thousands of years ago until late Islamic era. In order to provide a broad spectrum of understanding of the factors influencing Qatar›s occupational potential, the author emphasized the roles of hydrology, climate and sea level fluctuations, and the likely pathways that people may have used to enter Qatar and the obstacles they had to overcome on their way northwards out of Africa during Paleolithic Age. The book is a vast comprehensive interdisciplinary research based on several years of intensive fieldwork and advanced information-gathering that produced significant new data related to several fields such as: environment, geology, geomorphology, climatology, hydrology, history and archaeology. The collected data and records have been analyzed, studied and presented within the context of the most recent discoveries from Gulf region. The main findings of this study are of great value to current urban planners, especially with the rapid population growth and development across Qatar. They are also significant for those involved in historical geography and population settlement patterns as well as field archaeologists. Indeed, this book will be an indispensable reference for researchers and students interested in these interdisciplinary fields.", History ,,978-9927-139-37-6,978-8927-139-38-3,
Signs and Gestures: Non-verbal Communication in the Qatari Culure,Author: Montasir Al-Hamad Translator: Alreem Al-Adba,"This book is a guide for gestures and signs used in the Qatari culture. It is a documentation of the special cultural features that distinguish the Qatari culture, some of which are shared with other cultures and customs. The book highlights various features of the Qatari garments at different occasions and the gestures in “majales” and communities. It sheds light on how Qataris express their feelings and emotions, how they describe things and represent conditions through movements. This is also referenced by proverbs that appear in such contexts. This pioneering work is distinguished in the field of non-verbal and semiotics communication, as it could be instrumental in developing a code of gestures and signs related to all aspects of daily life in the contemporary Qatari culture, as well as keeping track of some rare gestures.", Culture ,,978-9927-139-54-3,978-9927-139-55-5,
Museums: Philosophy and Origins,Mohamed Gamal Rashed,"This work presents a reading of the museum’s philosophy, and the development it has undergone throughout its history since its beginnings in the ancient world. Starting from its origin to the culture of acquisition, display and preservation of artistic and religious holdings in ancient Egyptian temples, passing through the first known museum in Ur (Iraq) in the sixth century B.C.; then the Alexandrian Mouseion in the second century B.C.; to its inception’ roots in modern history, with the formation of the “Cabinets of Curiosity”, and the transfer of these private collections into public. Then, the rapid development of the museum’s concept and role in the recent decades into an engaging platform, which advocates social inclusion; and the unprecedented richness and diversity in the roles that the museum plays in the development of society. The author focuses on the ongoing museum’s development, which raises the challenges of the museum community in stating a new comprehensive museum definition. The aim extends to an attempt to understand the extent of its impact on the museum and society. The work also discusses the museum philosophy with focus on museum definition, the principal functions entrusted to the museum, the values that the museum presents to society. In addition, the discussion covers a number of controversial issues on the museum scene. Among these, the museum as a non-profit institution, its stability and ability to continue under the threats of COVID-19. Concluding with a contemporary reading of modern museology and its impact on the development and role of the museum. Finally, the work paves the way for the reader to capture a simple understanding of the museum and its philosophy; and then the development in the work of museum as an institution to moving forward in understanding the museum and its role, as well as understanding the role of museology behind the ongoing development in museums.", Culture ,,978-9927-139-13-0,978-9927-139-27-7,
Structural Analysis and Selected Topics,Mohammed Bin Salem Al-Ansari Muhammad Shekaib Afzal,"This book covers wide range of topics in Structural Analysis and Design using large number of numerical examples with different levels of complexity. The textbook minimizes theoretical derivations and focuses more on the application of structural analysis theories using numerical examples. In this edition, numerical examples with British Units are also added in addition to International System of units. The book is divided into sixteen chapters; Chapter 1 is an introduction, Chapters 3 ,2 and 4 covers basic structural analysis, Chapter 5 covers the deflection analysis of determinate structures using different methods, Chapter six covers influence lines, Chapter 7 covers the analysis of three-hinged arches and cables, Chapters 8 to 11 cover the analysis methods of Indeterminate structures, Chapters 12 to 15 introduce the matrix analysis methods of Indeterminate structures, Chapter 16 covers the topics related to structural analysis and design calculations”.", Engineering ,,978-9927-107-80-1,978-9927-107-81-8,
"International Organizations History, Politics, Economy, Law, Management",Muhammad bin Saleh Al-Musfir Dina Muhammad Abu Rumman,"This book is an introductory work on the principles of the United Nations (UN), its institutional framework, its role in the global pursuit for peace, security, and development, and can be deemed as vital to undergraduate students of international organizations. The content covers the genesis of the UN principles, the historical, political, legal, economic and administrative areas that have constituted the evolution of the UN, as well as the concept of global governance. It critically presents a thorough analysis of the composition of the UN’s organs, committees, memberships, terms of reference, the nature of its work, power and decision-making. This book also highlights Qatar’s role in the UN including some important cases presented in the General Assembly. Finally, it is hoped that this work voices some educational and cultural backgrounds that inspire students of the field to examine UN organizations, as humanitarian vehicles, for the struggle for security and peace across the globe.", Politics ,,978-9927-107-82-5,978-9927-107-83-2,
Cost Accounting and Management Accounting,Osama Abdel latif Mansour Ghassan H. Mardini Fathia Elleuch Lahyani,"This book is a result of a humble efforts by professors in the College of Business and Economics at Qatar University based on their experience and knowledge. The main objective of this book is to cover various areas in the subject of cost accounting for students through a comprehensive and simplified explanation of the traditional and modern cost systems and the differences between them. This book is designed to serve students of the College of Business and Economics in general and students of the major of accounting in particular. It also assists students after graduation in making administrative and accounting decisions. The book contains 10 chapters with designated educational objectives at the beginning of each chapter with questions and exercises at the end of each chapter. In this sense, it keeps pace with the topics raised in real life as well as theoretical and practical questions that simulates prestigious professional certificates in the field such as CMA and CPA. In this book, we seek to enrich the Arab library with a book that is updated with the university requerements and the practical workflow at the same time. In the end, we put this book in your hands as an integrated and interconnected scientific material to help you to understand a broader and deeper knowledge of the cost.", Business and Economy ,,978-9927-107-78-8,978-9927-107-79-5,
Shura and its Impact on Democracy,Abdulhameed AlAnsari,"An early commentary on this revised edition: Some books enlighten, open and free the mind, thus effectively contributing to building the society. A book I read is titled “Shura and its Impact on Democracy”. It is such an insightful comparative study. The author, Dr. Abdul Hameed Ismail Al-Ansari, [Emeritus Professor & former Dean of College of Sharia and Islamic Studies at Qatar University] tells us about the importance and necessity of democracy, summed up in the fact that it is the only way for nations to progress and rise. The Holy Qur’an, the author explains, has stipulated the principle of shura as an obligatory and enforceable rule; however, the Qur’an merely stipulated the general principle and left its details to be adapted according to the nation’s varying and changing circumstances. This defines the possibility for the Islamic nation to benefit from other nations and their experiences if they are valid, and do not violate the general principles established in Islam. Humanity has known different administrative and government systems throughout history, and it has concluded that the best form of government is democracy, which essentially means rule of the people. Democracy has become the basis of modern systems that countries adopt for their advancement and progress. In the face of this growing importance and urgency of democracy, many questions arose about Islam’s position on democracy, especially about the relationship between shura and democracy, which this book discusses in detail. So, the thesis of the book explores areas of agreement between shura and democracy, and the difference between them, and focuses on how shura contributes to treating the criticism of democracy. It also highlights the possibility of benefiting from modern democratic methods; all with the aim of laying down general foundations that can be used to establish an Islamic political system which combines tradition and modernity. The content is unique: it endeavors to mix the original with the contemporary, something often overlooked when we talk about Islam in past tense. Ahmed Bahjat [emphasis added]",,,978-9927-139-46-8,978-9927-139-47-5,
(En) Al Zubarah Qatar’s World Heritage City,A group of researchers,"This book covers the history and archeology of Al Zubarah and its surrounding areas in northern Qatar. It explores the social and economic history of this Heritage City, its environmental status, urban architecture, and archaeological ?nds including coins and pottery which constitute an important source for studying the history and cultural heritage of Zubarah site. The book also highlights the adopted strategies to maintain the authenticity of Zubarah site and its preservation in compliance with UNESCO directives, especially after Qatar’s success in inscribing it on the UNESCO World Heritage List in 2013. The book provides details of the selection process by documenting the site and implementing the required conservation strategies. The discovery of Al Zubarah site, which was hidden under mounds of ruins and sand, led to the discovery of a rich cultural past of the Arabian Gulf that was neglected until recently in scienti?c studies. The book emphasizes the need to raise awareness about the contemporary importance of Qatar’s past locally, regionally and internationally. This can be achieved through a range of activities incorporating oral history and cultural tourism. The book documents the work and excavations for uncovering and preserving the Al Zubarah archaeological area since 2009, as the site now plays a central role in the local and regional projects that aspire the prosperity of Al Zubarah.",,,978-992-710-792-4,78-992-710-794-8,
(Ar) Al Zubarah Qatar’s World Heritage City,A group of researchers,"This book covers the history and archeology of Al Zubarah and its surrounding areas in northern Qatar. It explores the social and economic history of this Heritage City, its environmental status, urban architecture, and archaeological ?nds including coins and pottery which constitute an important source for studying the history and cultural heritage of Zubarah site. The book also highlights the adopted strategies to maintain the authenticity of Zubarah site and its preservation in compliance with UNESCO directives, especially after Qatar’s success in inscribing it on the UNESCO World Heritage List in 2013. The book provides details of the selection process by documenting the site and implementing the required conservation strategies. The discovery of Al Zubarah site, which was hidden under mounds of ruins and sand, led to the discovery of a rich cultural past of the Arabian Gulf that was neglected until recently in scienti?c studies. The book emphasizes the need to raise awareness about the contemporary importance of Qatar’s past locally, regionally and internationally. This can be achieved through a range of activities incorporating oral history and cultural tourism. The book documents the work and excavations for uncovering and preserving the Al Zubarah archaeological area since 2009, as the site now plays a central role in the local and regional projects that aspire the prosperity of Al Zubarah.",,,978-9927-107-90-0,978-9927-107-91-7,
" Representations of Women in the Poetry of Shiekh Ali Bin Saud Bin Thani Bin
Jassim Al Thani 1932-1999",Prof. Maryam A. Rahman R. Al-Naemi,"The poetic path of Ali Bin Saud was like any artistic phenomenon that emerged, blossomed, and then bore fruit. It was a process like that of gradation, in view of the various political, social, economic, and cultural factors that affected the cultural scene and the literary movement in Qatar. Looking into his poetry, one can say that he is neither a purely imitative poet, nor a reformer whose poems are abundant with romantic characteristics. Rather, he falls in between, and lays closer to the latter. If we take a closer look at the compositions of Ali Bin Saud’s poems, we find - inevitably - a pure romantic tendency, where we realize the extent of his openness to intellectual, philosophical and social currents. He believes that true art is not limited by borders, nor bound by restrictions; it is instead an expression of man and life. Ali Bin Saud draws words, expressions, visions and wisdom from the ancient Arab heritage, which should be a remaining part in Arabs’ lives and the world today. Simultaneously, he deepens the experience, emanating it from females as indicative of noble values of humans, believing that the depths of normal humanity are all full of goodness. Ali Bin Saud used femininity as a poetic icon, and a self-contained textual focal point in his poetry, which is fragmented into cultural, mystical, and human icons that turned through humanitarian and cultural courses into values of love, motherland, and humans.",,,978-9927-107-87-0,978-9927-107-88-7,
 Cyberspace Attacks,Harith A. Dawood,"Security threats in cyberspace are constantly changing and evolving. Hence, it is imperative that we continue to monitor, understand them, and adapt to their countermeasures. Moreover, cyber wars and attacks should be identified documented, studied, analyzed, and lessons should be learned. This book tackles the security risks and challenges we are facing today, and that our children and students will face in the future. Indeed, everyone needs today to understand the security risks to our digital information; so that we can make an informed decision about the steps we might take to secure it. This book provides solid understanding for the Arab reader about the con-cept of war in cyberspace, as well as an understanding of the cyber security threats, which they see on satellite channels, allowing them to follow up on any cyber attacks that may occur in the future, and evaluate them with under-standing and knowledge. The book also aims at enriching the Arab library for the benefit of everyone looking for knowledge.",,,978-9927-107-89-4,978-9927-107-99-3,
Poetic Deviation – A Research in Criticism Issues,Hassan Bouijellaben,"This research aims at completing the researcher’s project on poetic deviation and deep-ening his consideration of the topic. Therefore, he sets out to formulate the following prob-lematic: what is the nature of the poetic deviation study in our Arabic linguistic heirloom and linguistic–rhetorical–poetry to reveal its criticism issues? The researcher is especial-ly interested in studying the poetic deviation from descriptive, interpretive and analytical standpoints, and according to the following varied criticism’s perspectives: Poetic deviation in the Arabic linguistic heirloom: the beginning of theorizing of that poetic deviation in such heirloom, and Averroes› contribution to set up the phonic deviation theory within Hazem Al–Qartajani’s simulation theory, and the poetic deviation within the pragmatic meaning. Poetic deviation and translation: forms of metalogism deviation from the per-spective of “MO” international translation group – translation and study; forms of phonic deviation from the perspective of “MO” group – translation and study of the phonic poetic necessity; problematic of translating the forms of poetic deviation; the linguistic–rhetorical method and deviation forms analysis. The conclusion is a synthetic summary of the obtained research results for the sake of further clarification of the criticism issues related to poetic deviation, and verification of the validity of all the hypotheses therein.",,,978-9927-139-35-2,978-9927-139-34-5,
 Al Zubarah (Special Edition),A group of researchers,"This book covers the history and archeology of Al Zubarah and its surrounding areas in northern Qatar. It explores the social and economic history of this Heritage City, its environmental status, urban architecture, and archaeological ?nds including coins and pottery which constitute an important source for studying the history and cultural heritage of Zubarah site. The book also highlights the adopted strategies to maintain the authenticity of Zubarah site and its preservation in compliance with UNESCO directives, especially after Qatar’s success in inscribing it on the UNESCO World Heritage List in 2013. The book provides details of the selection process by documenting the site and implementing the required conservation strategies. The discovery of Al Zubarah site, which was hidden under mounds of ruins and sand, led to the discovery of a rich cultural past of the Arabian Gulf that was neglected until recently in scienti?c studies. The book emphasizes the need to raise awareness about the contemporary importance of Qatar’s past locally, regionally and internationally. This can be achieved through a range of activities incorporating oral history and cultural tourism. The book documents the work and excavations for uncovering and preserving the Al Zubarah archaeological area since 2009, as the site now plays a central role in the local and regional projects that aspire the prosperity of Al Zubarah.",,,9789927139703,9789927139710,
Introduction to Sources of Qatar’s History ,Aly Afify Aly Ghazy,"Some may think that Qatar’s history sources are scarce. However, this book confirms the availability and variety of these sources. Indeed, they vary from archival documents, published and unpublished sources, edited manuscripts, to Western and Eastern travelers’ writings, in addition to studies written in Arabic and foreign languages.
This book takes the readers on a journey to the aforementioned archives, shedding light on some of their preservation units that serve Arab and Gulf history as a whole and Qatar’s history in particular. It also introduces some of the archived Qatari, Ottoman, Portuguese, Dutch, French, British, Indian, American, Russian, German, Hungarian, Austrian, Iranian, Egyptian, Iraqi, Sudanese, Tunisian, Omani and Moroccan documents.
In addition, this work introduces Western travelers’ writings as a significant source for Qatar’s history. It focuses especially on “Gazetteer of the Persian Gulf, Oman and Central Arabia,” a book that presents some of those travelers, their lives, journeys, relationships with Qatar, and their historically valuable writings.
The book also displays some important sources for writing history in general, and the history of Qatar in particular, such as antiquities, inscriptions, manuscripts, blogs and memos, postage stamps, photos, maps, cinematic and documentary films, newspapers, journals, magazines, folklore, proverbs and folk songs, Nabati poetry, tangible and intangible heritage, and oral narratives.",,,9789927139581,9789927139598,
Summary of the General Provisions of Obligations in Qatari Law,Gaber Mahgoub Ali; Tarek Goma Elsayed Rashed,"The general theory of obligations is the backbone of all studies in legal science, where its rules govern most legal applications, especially in civil law. The theory has two parts; the sources of obligation, and the provisions of obligation; which represent this book’s subject, providing an explanation of the general provisions of obligations in the Qatari Civil Law. The book contains four chapters; the first chapter deals with the effects of obligations, as it begins with the study of the obligatory (in-kind and against a compensation) implementations of the obligation. The chapter ends with the study of the guarantees of the obligation’s implementation; these are the indirect lawsuit, the lawsuit for non-enforcement of actions, and the right to imprisonment. The second chapter studies the obligations’ descriptions. Whether related to the existence or enforcement of the obligation (condition and term), the object of the obligation (optional and substitutional obligations), or related to the parties to the obligation (solidarity and indivisibility). In Chapter 3, we dealt with the transfer of obligation, either positively by assignment of right, or negatively by way of debt assignment. Finally, in Chapter 4, focuses on the termination of the obligation firstly through satisfaction; secondly, satisfaction of obligation by valuable consideration, and thirdly the termination of the obligation without satisfaction.",,,9789927139628,9789927139635,
"The Historical Development of Constitutional System in the State of Qatar: 
A Study into the Provisional Constitution of 1970",Fawzi Oussedik ,"This work sheds light on Qatar’s Constitution, including the circumstances in which it was first adopted and how it evolved up to the present time. There is a comparison of the conditions in Qatar, before, during, and after the British era.
The work covers in detail the legal and political aspects of the independence of Qatar, explaining the manifestations of Qatar’s sovereignty both locally and internationally, the principles underlying the Qatari Constitution, and the requirements of a complete constitutional enforcement. This new perspective on the constitutional law is not an occasional one; it developed over several stages.
From chapter to chapter, the book tries to give a clear overview of the characteristics of the constitutional system in Qatar, as compared to a number of Arab constitutions, to identify the reasons for its drafting and promulgation. In addition, it highlights the important declarations by the government, through enactment of laws at times of peace and war, as well as the conclusion of treaties and conventions.
Moreover, the social, political, and economic resources of Qatar are introduced; examining rights, freedoms, and responsibilities, from family to the right to work; social solidarity and education; the right to ownership and property; equal rights, responsibilities, and employment; public utilities; and other civil liberties.",,,9789927139604,9789927139611,
"The Debate over Conflicts and Settlements behind the Scenes of the Security
Council: the Iraq-Iran War 1980-1988",Hamad Bin Abdulaziz Al-Kuwari,"Being a political expert and an eyewitness to what is going on behind the scenes of the United
Nations and the corridors of the Security Council, the Qatari diplomat and intellectual His Excellency
Dr. Hamad bin Abdulaziz Al-Kuwari, presents in this book an objective critical reading of the Security
Council’s role in dealing with the Iran-Iraq War (1980-1988); one of the most precarious regional
conflicts, that its repercussions are still affecting our region and the world.
The book presents a thorough testimony to the mechanisms of adopting resolutions within this
international organization, and its role in settling international conflicts. As one of the participants
who played a major role as the representative of the State of Qatar at the United Nations at the time,
Dr. Al-Kuwari gives a sound assessment of the nature of the Council›s work during the Iran-Iraq
war through an inside look. The author discusses the major political and historical root causes that
led to the outbreak of the war, attitudes of major countries towards it, in addition to the regional
circumstances, and the political interactions in decision-making centers. This was reflected in the
Security Council’s action and decisions on the war; what makes the book a vital reference in studying
the region’s geopolitical history, analyzing global politics and trends, especially towards the Arab and
Islamic world, and exploring the depths of international organizations, their platforms, and their work
mechanisms”.",,,9789927139765,9789927139772,
Civil Contracts in Qatari Civil Law (Sale and Lease),Hassan Elbarrawy,"This book deals with the explanation of the two most important contracts of the special contracts organized by the Qatari legislator, which are sale and lease, due to their special practical importance. The are among the most used daily contracts, as well as comprising basic legal provisions and principles that are important in the legal formation of a law student; as the application of these rules extends to other contracts. The sales contract is dealt with through two sections preceded by an introductory chapter dealing with the nature of the sale and its characteristics. In the first chapter of this section, the contract of sale is studied, while the second chapter is devoted to the effects of the sales contract, where the obligations of the seller and the purchaser are focused on, and in the third chapter, the provisions relating to some types of sales are studied. In the second section, the general provisions of the lease contract are studied, through an introductory study of the definition of the lease and its characteristics, and three chapters: the first chapter was devoted to the lease contract, and the second chapter focuses on the effects of the lease, where the obligations of the lessor and the tenant and the assignment of lease, and sub-lease are explained, and the third chapter is designated for the end of the lease. ",,,9789927139727,9789927139734,
